Zoom level/Latittude,0,15, 30, 45, 60, 75
15, 4.78, 4.61, 4.14, 3.38, 2.39, 1.24
16, 2.39, 2.31, 2.07, 1.69, 1.19, 0.62
17, 1.19, 1.15, 1.03, 0.84, 0.60, 0.31
18, 0.60 , 0.58,0.52,0.42, 0.30, 0.15
19, 0.30, 0.29, 0.26, 0.21, 0.15, 0.08
20, 0.15, 0.14, 0.13, 0.11, 0.07, 0.04
